Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.113515   171.968611
1.123515   170.396436
1.133515   166.874304
1.143515   165.150047
1.153515   164.464049
1.163515   164.772019
1.173515   163.988436
1.183515   162.534103
1.193515   161.862054
1.203515   161.214150
1.213515   160.974383
1.223515   161.179831
1.233515   161.371262
1.243515   160.987557
1.253515   160.935037
1.263515   160.775544
1.273515   160.478388
1.283515   161.246301
1.293515   161.130699
1.303515   161.267634
1.313515   161.476857
1.323515   161.885341
1.333515   162.083799
1.343515   161.894225
1.353515   161.222172
1.363515   160.982826
1.373515   160.565141
1.383515   160.730089
1.393515   160.724108
1.403515   161.065364
1.413515   161.427323
1.423515   161.403730
1.433515   161.196071
1.443515   160.136474
1.453515   160.457780
1.463515   161.142393
1.473515   161.159382
1.483515   161.327057
1.493515   161.419715
1.503515   162.040358
1.513515   162.718619
1.523515   162.754299
1.533515   163.957214
1.543515   163.894608
1.553515   163.890260
1.563515   163.682372
1.573515   163.662003
1.583515   164.089376
1.593515   166.652227
1.603515   165.909352
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
