Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.881100   224.958617
0.891100   219.313596
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.951100   159.906355
0.961100   161.286180
0.971100   162.579511
0.981100   163.452530
0.991100   164.159655
1.001100   164.725164
1.011100   165.160182
1.021100   164.441028
1.031100   163.159822
1.041100   161.603665
1.051100   160.332123
1.061100   159.199897
1.071100   157.615440
1.081100   156.219955
1.091100   155.061117
1.101100   154.734126
1.111100   154.744761
1.121100   154.707193
1.131100   154.260497
1.141100   153.397245
1.151100   152.930591
1.161100   153.253127
1.171100   153.579994
1.181100   154.314661
1.191100   155.359555
1.201100   155.588476
1.211100   155.880728
1.221100   156.001694
1.231100   156.231929
1.241100   155.622894
1.251100   154.737671
1.261100   155.216028
1.271100   154.736565
1.281100   153.757296
1.291100   154.605227
1.301100   155.890426
1.311100   154.766703
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
