Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.961780   161.487511
0.971780   156.824781
0.981780   158.966432
0.991780   162.069910
1.001780   163.969436
1.011780   164.763115
1.021780   161.943824
1.031780   161.636223
1.041780   160.717011
1.051780   160.866978
1.061780   161.292211
1.071780   161.529972
1.081780   162.872611
1.091780   162.272395
1.101780   160.978642
1.111780   162.446571
1.121780   162.508154
1.131780   161.480522
1.141780   162.065922
1.151780   161.409121
1.161780   160.004752
1.171780   161.012389
1.181780   160.910068
1.191780   160.529208
1.201780   160.052083
1.211780   159.254642
1.221780   159.558452
1.231780   159.083879
1.241780   159.559884
1.251780   158.477002
1.261780   158.453802
1.271780   158.738836
1.281780   159.373215
1.291780   158.566632
1.301780   158.954924
1.311780   159.612189
1.321780   159.236132
1.331780   160.310863
1.341780   162.138433
1.351780   166.430074
1.361780   167.744268
1.371780   168.506007
1.381780   166.582436
1.391780   165.550465
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
