Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.401689   162.871230
1.411689   157.137422
1.421689   159.538878
1.431689   161.844281
1.441689   162.660150
1.451689   163.728760
1.461689   163.977326
1.471689   163.579992
1.481689   163.028295
1.491689   163.617130
1.501689   163.599350
1.511689   163.594120
1.521689   164.100401
1.531689   164.720432
1.541689   165.568827
1.551689   166.400167
1.561689   166.455274
1.571689   166.186092
1.581689   166.501425
1.591689   166.580377
1.601689   166.516068
1.611689   166.388582
1.621689   166.087891
1.631689   165.910343
1.641689   165.720345
1.651689   165.040534
1.661689   164.081181
1.671689   163.089145
1.681689   161.646570
1.691689   161.193619
1.701689   161.373496
1.711689   161.275896
1.721689   161.705196
1.731689   164.365591
1.741689   169.168044
1.751689   174.906211
1.761689   177.413526
1.771689   178.902579
1.781689   176.708691
1.791689   173.343377
1.801689   175.998622
1.811689   177.612856
--undefined--   --undefined--
--undefined--   --undefined--
