Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.822063   493.414643
0.832063   483.776690
0.842063   479.609739
--undefined--   --undefined--
0.862063   182.447500
0.872063   176.636751
0.882063   173.349553
0.892063   171.899639
0.902063   171.143316
0.912063   170.798382
0.922063   170.102266
0.932063   169.540058
0.942063   169.859842
0.952063   169.475585
0.962063   169.089977
0.972063   168.941358
0.982063   168.821862
0.992063   168.537876
1.002063   168.425443
1.012063   168.316649
1.022063   167.471195
1.032063   167.564676
1.042063   167.612261
1.052063   167.817501
1.062063   168.104531
1.072063   168.237092
1.082063   168.627115
1.092063   168.759640
1.102063   168.927332
1.112063   168.960201
1.122063   168.996149
1.132063   168.877057
1.142063   168.529964
1.152063   168.723952
1.162063   168.251393
1.172063   167.962474
1.182063   167.959981
1.192063   167.589127
1.202063   167.620663
1.212063   168.013679
1.222063   167.976889
1.232063   168.773797
1.242063   168.629588
1.252063   168.689652
1.262063   168.578538
1.272063   168.019140
1.282063   168.208271
1.292063   167.307246
1.302063   167.694627
1.312063   166.924388
1.322063   168.900979
1.332063   169.126065
1.342063   169.783423
1.352063   169.702951
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
