Time_s   F0_Hz
--undefined--   --undefined--
0.680317   148.999498
0.690317   149.468819
0.700317   151.230840
0.710317   151.365176
0.720317   153.093466
0.730317   158.009054
0.740317   161.162421
0.750317   161.458553
0.760317   162.475091
0.770317   164.246684
0.780317   164.077297
0.790317   162.511494
0.800317   162.347092
0.810317   162.092006
0.820317   162.912879
0.830317   163.162647
0.840317   163.059276
0.850317   162.973309
0.860317   162.776419
0.870317   162.185564
0.880317   161.516727
0.890317   161.037491
0.900317   159.912305
0.910317   157.941996
0.920317   157.423897
0.930317   156.588392
0.940317   156.805569
0.950317   156.569306
0.960317   156.528823
0.970317   155.824905
0.980317   156.145435
0.990317   155.752271
1.000317   155.810616
1.010317   155.348393
1.020317   155.786005
1.030317   155.183881
1.040317   155.177832
1.050317   154.789591
1.060317   154.722504
1.070317   154.092319
1.080317   155.190926
1.090317   155.527978
1.100317   155.428351
1.110317   156.418203
1.120317   157.411220
1.130317   158.665194
1.140317   159.819245
1.150317   160.404558
1.160317   161.962668
1.170317   162.931824
1.180317   162.733402
1.190317   162.638855
1.200317   162.870159
1.210317   161.431354
1.220317   158.055217
--undefined--   --undefined--
--undefined--   --undefined--
