Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.681633   152.324901
0.691633   141.913485
0.701633   137.061008
0.711633   134.959087
0.721633   133.689964
0.731633   133.128975
0.741633   134.028064
0.751633   132.504231
0.761633   133.555061
0.771633   135.538554
0.781633   138.371619
0.791633   142.679144
0.801633   148.110751
0.811633   152.723756
0.821633   157.539809
0.831633   160.850245
0.841633   164.080778
0.851633   166.103710
0.861633   167.685685
0.871633   168.883859
0.881633   169.103584
0.891633   168.729350
0.901633   168.114925
0.911633   167.450132
0.921633   166.540226
0.931633   165.791513
0.941633   165.309735
0.951633   165.439440
0.961633   164.657587
0.971633   163.266745
0.981633   162.605610
0.991633   162.339248
1.001633   162.246353
1.011633   162.324034
1.021633   161.755715
1.031633   160.183201
1.041633   159.842937
1.051633   162.486401
1.061633   163.153914
1.071633   163.109138
1.081633   162.654280
1.091633   162.625333
1.101633   162.546928
1.111633   162.612656
1.121633   163.046073
1.131633   162.889706
1.141633   162.723544
1.151633   162.626218
1.161633   163.090343
1.171633   163.614350
1.181633   163.801958
1.191633   164.171892
1.201633   164.567123
1.211633   165.855241
1.221633   166.695705
1.231633   167.200297
1.241633   167.037263
1.251633   165.665328
1.261633   165.914508
1.271633   168.826265
1.281633   166.284128
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
