Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
1.189297   111.929876
1.199297   106.972136
1.209297   103.935209
1.219297   104.683432
1.229297   102.841127
1.239297   102.518929
1.249297   102.139119
1.259297   100.874938
1.269297   102.244561
1.279297   102.053215
1.289297   101.547931
1.299297   101.344273
1.309297   101.634753
1.319297   102.273735
1.329297   102.155644
1.339297   102.752324
1.349297   103.972107
1.359297   104.269743
1.369297   105.531687
1.379297   107.246731
1.389297   109.212072
1.399297   109.815009
1.409297   110.334731
1.419297   111.155284
1.429297   112.929329
1.439297   113.674377
1.449297   114.339133
1.459297   116.512723
1.469297   117.905075
1.479297   119.629706
1.489297   120.772662
1.499297   121.891746
1.509297   123.748732
1.519297   125.859248
1.529297   127.219200
1.539297   128.707129
1.549297   131.510673
1.559297   134.441808
1.569297   137.498506
1.579297   142.287304
1.589297   148.258476
1.599297   161.489438
1.609297   85.013426
1.619297   84.626099
1.629297   86.552268
1.639297   86.799287
1.649297   81.636010
--undefined--   --undefined--
1.669297   315.763244
1.679297   309.498907
--undefined--   --undefined--
--undefined--   --undefined--
