Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.094887   112.023609
1.104887   109.116875
1.114887   106.516273
1.124887   102.654088
1.134887   101.137927
1.144887   100.357712
1.154887   99.763380
1.164887   99.552860
1.174887   98.847547
1.184887   98.871632
1.194887   98.989861
1.204887   100.643819
1.214887   101.626426
1.224887   102.403592
1.234887   103.378148
1.244887   104.795533
1.254887   106.452640
1.264887   106.492362
1.274887   107.067793
1.284887   107.588695
1.294887   110.025027
1.304887   110.951115
1.314887   111.872837
1.324887   113.369713
1.334887   114.096867
1.344887   115.044224
1.354887   116.321678
1.364887   118.023818
1.374887   119.442004
1.384887   121.260433
1.394887   122.016967
1.404887   123.122072
1.414887   125.024072
1.424887   126.220562
1.434887   127.783498
1.444887   129.784290
1.454887   131.598402
1.464887   133.122249
1.474887   136.117581
1.484887   140.865412
1.494887   141.164566
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
