Time_s   F0_Hz
--undefined--   --undefined--
0.741701   379.084036
0.751701   378.508017
0.761701   373.707312
0.771701   398.665321
0.781701   401.852528
0.791701   402.651880
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.881701   224.639514
0.891701   223.112138
0.901701   222.143562
0.911701   224.312835
0.921701   220.248988
0.931701   216.249492
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.971701   97.871595
0.981701   95.462113
0.991701   93.261444
1.001701   93.127632
1.011701   93.225621
1.021701   92.914316
1.031701   92.275009
1.041701   98.207745
1.051701   98.007908
1.061701   98.636508
1.071701   101.449732
1.081701   106.162853
1.091701   109.344017
1.101701   111.027644
1.111701   112.150937
1.121701   114.374893
1.131701   115.753566
1.141701   116.844021
1.151701   119.303239
1.161701   121.190074
1.171701   122.881108
1.181701   123.187014
1.191701   124.080688
1.201701   126.680163
1.211701   129.097686
1.221701   129.974489
1.231701   129.897562
1.241701   130.440225
1.251701   131.429246
1.261701   132.809446
1.271701   133.708692
1.281701   134.364941
1.291701   137.487659
1.301701   145.197226
1.311701   150.528920
1.321701   154.021783
1.331701   172.962400
1.341701   193.232214
1.351701   232.969549
1.361701   224.166967
1.371701   215.720373
1.381701   222.403034
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
