Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.997120   177.022886
1.007120   155.498559
1.017120   158.256225
1.027120   157.612977
1.037120   156.622797
1.047120   155.166451
1.057120   154.450719
1.067120   153.769369
1.077120   153.595582
1.087120   153.390198
1.097120   153.541545
1.107120   152.863981
1.117120   153.142260
1.127120   153.225794
1.137120   152.813236
1.147120   152.028177
1.157120   153.129285
1.167120   155.670323
1.177120   156.338177
1.187120   155.688824
1.197120   154.583554
1.207120   155.508026
1.217120   158.098905
1.227120   161.566494
1.237120   161.074220
1.247120   161.488805
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
