Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.931814   148.060120
0.941814   147.040921
0.951814   141.187147
0.961814   140.309761
0.971814   142.144004
0.981814   142.869144
0.991814   143.533026
1.001814   144.068704
1.011814   141.955943
1.021814   142.261788
1.031814   143.391523
1.041814   144.212187
1.051814   144.909419
1.061814   146.155966
1.071814   146.918218
1.081814   147.837311
1.091814   148.134276
1.101814   148.143127
1.111814   148.444597
1.121814   148.607196
1.131814   148.158528
1.141814   147.822905
1.151814   148.111260
1.161814   148.815048
1.171814   149.432679
1.181814   149.471961
1.191814   149.673292
1.201814   149.467270
1.211814   150.047059
1.221814   150.373479
1.231814   150.844781
1.241814   150.681653
1.251814   150.390077
1.261814   150.124602
1.271814   150.148901
1.281814   151.376494
1.291814   152.271495
1.301814   152.288221
1.311814   151.586730
1.321814   151.167684
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
