Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.413333   155.434642
1.423333   155.784581
1.433333   154.894772
1.443333   152.021431
1.453333   150.671648
1.463333   149.948874
1.473333   149.288658
1.483333   149.606427
1.493333   150.294129
1.503333   150.219733
1.513333   149.981945
1.523333   150.730166
1.533333   151.228724
1.543333   151.727574
1.553333   151.470060
1.563333   151.365632
1.573333   151.841644
1.583333   152.309487
1.593333   152.463467
1.603333   153.385463
1.613333   154.637097
1.623333   158.828205
1.633333   159.240151
1.643333   158.227696
1.653333   157.365702
1.663333   162.810569
1.673333   167.882570
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
