Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
0.715884   142.495650
0.725884   147.515411
0.735884   148.687518
0.745884   144.793709
0.755884   141.603044
0.765884   143.179958
0.775884   147.116432
0.785884   150.994068
0.795884   154.036528
0.805884   152.992169
0.815884   152.200657
0.825884   151.842055
0.835884   151.497404
0.845884   151.717464
0.855884   152.965861
0.865884   153.870763
0.875884   153.672118
0.885884   153.718585
0.895884   153.382261
0.905884   153.384625
0.915884   154.077172
0.925884   154.499862
0.935884   155.438548
0.945884   156.439628
0.955884   156.051278
0.965884   155.552994
0.975884   156.751370
0.985884   158.643424
0.995884   159.071350
1.005884   157.698986
--undefined--   --undefined--
--undefined--   --undefined--
