Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.151077   144.422072
1.161077   142.587389
1.171077   142.953785
1.181077   144.125497
1.191077   145.561687
1.201077   148.557954
1.211077   151.882025
1.221077   155.786247
1.231077   160.537167
1.241077   162.131041
1.251077   161.719230
1.261077   161.948434
1.271077   162.204973
1.281077   161.252495
1.291077   159.396688
1.301077   158.092132
1.311077   153.937264
1.321077   149.139461
1.331077   154.470594
1.341077   156.642867
1.351077   153.894135
1.361077   154.555714
1.371077   155.471831
1.381077   156.778904
1.391077   157.707179
1.401077   157.370077
1.411077   158.172285
1.421077   159.022489
1.431077   159.449202
1.441077   162.031783
1.451077   163.479929
1.461077   163.821413
1.471077   162.766053
1.481077   163.277789
1.491077   161.599780
1.501077   160.087961
1.511077   159.378065
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.551077   160.190024
1.561077   159.708810
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
