Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.022517   147.760889
1.032517   148.119701
1.042517   147.379448
1.052517   147.089140
1.062517   149.107312
1.072517   150.735923
1.082517   152.318648
1.092517   154.389639
1.102517   156.834711
1.112517   160.100076
1.122517   161.785066
1.132517   161.832523
1.142517   162.459307
1.152517   160.070619
1.162517   159.749465
1.172517   158.350268
1.182517   157.374374
1.192517   157.046187
1.202517   156.084248
1.212517   154.777408
1.222517   154.314521
1.232517   155.056800
1.242517   154.802012
1.252517   154.440758
1.262517   155.189571
1.272517   156.796999
1.282517   157.698461
1.292517   158.218111
1.302517   159.687436
1.312517   162.607550
1.322517   166.773715
1.332517   167.663597
1.342517   166.800936
1.352517   163.530041
1.362517   163.100611
1.372517   160.448362
1.382517   157.942657
1.392517   158.046200
1.402517   156.507730
1.412517   158.727882
1.422517   160.418980
1.432517   160.688991
1.442517   158.819262
1.452517   161.981458
1.462517   162.448307
1.472517   161.626592
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
