Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.149297   131.493036
1.159297   138.642321
1.169297   128.649177
1.179297   129.208449
1.189297   127.961482
1.199297   125.671827
1.209297   125.269161
1.219297   124.944012
1.229297   124.793171
1.239297   124.280798
1.249297   124.063066
1.259297   124.772046
1.269297   125.072283
1.279297   125.545189
1.289297   127.191497
1.299297   128.914193
1.309297   130.750588
1.319297   133.850572
1.329297   136.844305
1.339297   141.024914
1.349297   150.236020
1.359297   151.030822
1.369297   152.660756
1.379297   157.632189
1.389297   160.614056
1.399297   166.364220
1.409297   167.956217
1.419297   176.946698
1.429297   181.431194
1.439297   178.682035
1.449297   174.022816
1.459297   176.328210
1.469297   177.338611
1.479297   150.981362
1.489297   157.267519
1.499297   161.113688
--undefined--   --undefined--
