Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.150805   129.827340
1.160805   134.652131
1.170805   123.507932
1.180805   125.833901
1.190805   121.571338
1.200805   121.555458
1.210805   121.683264
1.220805   121.804902
1.230805   121.221295
1.240805   121.026800
1.250805   120.810402
1.260805   120.606061
1.270805   120.943793
1.280805   121.460099
1.290805   122.100631
1.300805   122.687009
1.310805   123.982052
1.320805   126.322391
1.330805   129.234232
1.340805   132.126413
1.350805   135.596230
1.360805   138.954559
1.370805   141.793169
1.380805   144.843316
1.390805   149.563569
1.400805   154.372433
1.410805   159.983109
1.420805   160.355296
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
